date,AAPL,MSFT,WMT,XOM
2010-10-20,;1.4507628294;,;0.829621380846;,;1.00312388753;,;0.974278128112;
2010-10-21,;1.44625520111;,;0.833333333333;,;1.01362973708;,;0.978924659808;
2010-10-22,;1.43654646325;,;0.832219747587;,;1.01419258955;,;0.979256554929;
2010-10-25,;1.44313453537;,;0.825909428359;,;1.0121289318;,;0.977099236641;
2010-10-26,;1.43932038835;,;0.849294729027;,;1.02357284045;,;0.982077663458;
2010-10-27,;1.43828016644;,;0.854120267261;,;1.01062806274;,;0.969299701294;
2010-10-28,;1.42614424411;,;0.861544172235;,;1.01456781744;,;0.977431131762;
2010-10-29,;1.40638002774;,;0.874536005939;,;1.01625618352;,;0.981413873216;
2010-11-01,;1.42128987517;,;0.883444691908;,;1.018882715;,;0.988217723199;
2010-11-02,;1.44556171983;,;0.897921306607;,;1.027887738;,;1.00132758048;
2010-11-03,;1.46151178918;,;0.886043058649;,;1.03013897781;,;1.00331895121;
2010-11-04,;1.48717059639;,;0.889755011136;,;1.03858123338;,;1.02406239628;
2010-11-05,;1.48162274619;,;0.880475129918;,;1.03557955905;,;1.03318951211;
2010-11-08,;1.48855755895;,;0.878990348924;,;1.03013897781;,;1.03800199137;
2010-11-09,;1.47676837725;,;0.883444691908;,;1.03276544551;,;1.04912047793;
2010-11-10,;1.48578363384;,;0.883073496659;,;1.02263476009;,;1.05658811815;
2010-11-11,;1.47954230236;,;0.874907201188;,;1.01944550369;,;1.06687686691;
2010-11-12,;1.43932038835;,;0.861172976986;,;1.01550581277;,;1.05443079987;
2010-11-15,;1.43446601942;,;0.858945805494;,;1.0121289318;,;1.04679721208;
2010-11-16,;1.40915395284;,;0.85152190052;,;1.01794463464;,;1.02406239628;
2010-11-17,;1.40395284327;,;0.843355605048;,;1.00875202957;,;1.02505808165;
2010-11-18,;1.44105409154;,;0.852264291017;,;1.01269172049;,;1.04430799867;
2010-11-19,;1.43307905687;,;0.847438752784;,;1.02038352028;,;1.04779289744;
2010-11-22,;1.46428571429;,;0.848923533779;,;1.02019593822;,;1.04248257551;
2010-11-23,;1.44244105409;,;0.8285077951;,;1.00687593262;,;1.02456023896;
2010-11-24,;1.47087378641;,;0.83704528582;,;1.01325450919;,;1.03800199137;
2010-11-26,;1.47191400832;,;0.832962138085;,;1.00818924088;,;1.0282110853;
2010-11-29,;1.48058252427;,;0.834818114328;,;1.01025283485;,;1.03153003651;
2010-11-30,;1.45388349515;,;0.833333333333;,;1.01475537824;,;1.03318951211;
2010-12-01,;1.47850208044;,;0.858945805494;,;1.02619930815;,;1.05940922668;
2010-12-02,;1.48647711512;,;0.887156644395;,;1.02713730348;,;1.06173249253;
2010-12-03,;1.48335644938;,;0.891239792131;,;1.02469841784;,;1.05741785596;
2010-12-06,;1.49583911234;,;0.885300668151;,;1.02225961723;,;1.05924327912;
2010-12-07,;1.48682385576;,;0.886414253898;,;1.03351588004;,;1.06140059741;
2010-12-08,;1.5;,;0.898292501856;,;1.0279132478;,;1.06720876203;
2010-12-09,;1.49410540915;,;0.893466963623;,;1.02508357329;,;1.06936608032;
